物种,来源,工厂,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,RAPD分组,RAPD分组,RAPD分组,RAPD分组,生物被膜形成能力,生物被膜形成能力,生物被膜形成能力,血清分型,CC,ST型别,spa型别
物种,来源,工厂,头孢曲松（CTR）,加替沙星（GAT）,多粘菌素B（PB）,庆大霉素（GM）,链霉素（S）,磺胺异恶唑（SIZ）,头孢噻吩（CF）,环丙沙星（CIP）,头孢他啶（CAZ）,四环素（TET）,氟苯尼考（FON）,氨苄西林（AM）,红霉素（EM）,阿莫西林克拉维酸（AMC）,复方新诺明（SXT）,克林霉素（CC）,利福平（RA）,头孢西丁（FOX）,头孢吡肟（FEP）,亚胺培南（IPM）,氯霉素（C）,氟苯尼考（FON）,利福平（RIP）,青霉素 (PEN),红霉素(ERY),林可霉素(LCM),克林霉素(CLI),四环素(TMP),阿莫西林,头孢他啶,庆大霉素,加替沙星,多粘菌素B,磺胺异恶唑,萘啶酸,磷霉素,头孢呋辛,氨苄西林舒巴坦,氨苄西林,氨曲南,呋喃妥因,头孢咗啉,mecA,ermA,ermB,ermC,tetM,tetK,linA,glrA,invA,sipC,sopB,stnP1,hilA,sipA,sefA,ssrA,sopE,spvC,rck,pefA,ssaR,plcA,prfA,actA,hly,iap,hla,hlb,sea,seb,tst,pvl,clfa,inIB,inIC,plcB,inlA,inlJ,mpl,stx1 ,stx2,stx1＆stx2,stx1 亚型,stx2 亚型,eae,ehxA,rfbeO157,flicH7,thrA,sucA,purE,hisD,hemD,dnaN,aroC,abcZ,bglA,cat,dapE,dat,Idh,IhkA,斜面,底层,产气,硫化氢,赖氨酸脱羧酶,氰化钾,靛基质,尿素酶,山梨醇,甘露醇,ONPG,七叶苷,葡萄糖,麦芽糖,MR-VP,鼠李糖,木糖,尿素,赖氨酸,鸟氨酸,MR,VP,棉籽糖,纤维二糖,西蒙枸杞酸盐,PB1,PB4,HLWL4,分组数,强,中,弱,血清分型,CC,ST型别,spa型别
Salmonella,去皮前,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,+,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,刀具,山东地区,-,-,-,-,-,+,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,+,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,粪便,山东地区,+,-,+,-,+,+,+,+,-,+,-,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,-,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,+,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,粪便,山东地区,-,-,+,-,-,+,-,-,-,+,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,去皮前,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,-,+,+,+,+,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  +,  -, +, +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,分割肉,山东地区,-,-,-,-,-,+,-,-,-,-,+,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2,9,5,9,12,7,10,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,19,/
Salmonella,去皮前,山东地区,+,-,+,-,+,+,+,+,-,+,-,+,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,-,-,-,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  +,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
Salmonella,粪便,山东地区,-,-,-,-,-,-,-,-,-,-,-,-,+,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,+,+,+,+,+,+,+,+,+,+,-,-,-,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,18,19,16,14,23,4,20,/,/,/,/,/,/,/,K,A,+,+,+,  -,  -,  -,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,42,/
