Time,室内 TSP,室内 PM2.5,户外 TSP,户外 PM2.5,环境 PM2.5,室内 CO2,室内 NH3,室内 RH,室内 T,,,,
2021-01-01 12:00:00,96.6 ,88.3 ,91.0 ,77.7 ,60.0 ,701.3 ,0.4 ,26.7 ,2.9 ,,,,
2021-01-01 13:00:00,77.6 ,69.1 ,77.9 ,63.9 ,48.0 ,681.5 ,0.1 ,21.7 ,4.6 ,,,,
2021-01-01 15:00:00,94.8 ,60.0 ,72.9 ,54.3 ,44.0 ,615.5 ,0.0 ,18.5 ,3.3 ,,,,
2021-01-01 16:00:00,104.2 ,62.0 ,82.7 ,58.7 ,44.0 ,683.2 ,0.1 ,20.7 ,2.2 ,,,,
2021-01-01 17:00:00,211.3 ,68.7 ,95.4 ,64.6 ,41.0 ,903.5 ,0.7 ,31.3 ,0.1 ,,,,
2021-01-01 18:00:00,319.7 ,100.0 ,97.7 ,70.1 ,49.0 ,1004.3 ,1.4 ,47.5 ,-1.4 ,,,,
2021-01-01 19:00:00,196.4 ,108.4 ,117.3 ,82.2 ,54.0 ,988.0 ,1.7 ,47.2 ,-2.2 ,,,,
2021-01-01 20:00:00,165.2 ,113.3 ,121.6 ,95.3 ,58.0 ,919.8 ,1.7 ,57.1 ,-3.2 ,,,,
2021-01-01 21:00:00,141.2 ,119.4 ,104.5 ,100.2 ,51.0 ,912.3 ,1.7 ,57.3 ,-4.1 ,,,,
2021-01-01 22:00:00,111.8 ,110.8 ,116.0 ,102.9 ,50.0 ,863.5 ,1.7 ,63.9 ,-4.6 ,,,,
2021-01-02 03:00:00,69.8 ,57.9 ,47.0 ,58.0 ,32.0 ,645.2 ,0.9 ,73.1 ,-6.9 ,,,,
2021-01-02 16:00:00,138.9 ,108.0 ,132.0 ,101.8 ,69.0 ,712.2 ,0.3 ,49.1 ,2.3 ,,,,
2021-01-02 17:00:00,129.0 ,106.5 ,142.4 ,102.8 ,73.0 ,848.0 ,0.6 ,54.1 ,0.7 ,,,,
2021-01-02 18:00:00,133.3 ,120.2 ,243.0 ,118.7 ,68.0 ,881.0 ,1.0 ,60.7 ,-0.4 ,,,,
2021-01-02 23:00:00,166.4 ,206.4 ,212.0 ,191.2 ,70.0 ,834.5 ,0.8 ,67.3 ,-4.2 ,,,,
2021-01-04 16:00:00,44.6 ,16.0 ,18.0 ,7.7 ,3.0 ,556.3 ,0.1 ,23.4 ,0.3 ,,,,
2021-01-04 19:00:00,65.9 ,16.1 ,33.1 ,11.4 ,17.0 ,762.2 ,0.6 ,34.7 ,-2.6 ,,,,
2021-01-04 20:00:00,46.0 ,9.4 ,25.3 ,9.4 ,16.0 ,752.5 ,0.6 ,28.8 ,-2.7 ,,,,
2021-01-04 21:00:00,29.9 ,5.8 ,12.2 ,6.9 ,11.0 ,659.3 ,0.4 ,25.3 ,-3.3 ,,,,
2021-01-04 22:00:00,25.1 ,5.2 ,11.0 ,6.7 ,14.0 ,613.2 ,0.2 ,22.9 ,-4.1 ,,,,
2021-01-04 23:00:00,24.2 ,6.1 ,11.6 ,7.3 ,11.0 ,642.8 ,0.3 ,28.2 ,-4.6 ,,,,
2021-01-05 01:00:00,22.0 ,6.4 ,10.8 ,6.8 ,13.0 ,704.0 ,0.5 ,32.7 ,-5.6 ,,,,
2021-01-05 02:00:00,22.1 ,6.0 ,10.9 ,6.2 ,12.0 ,672.0 ,0.5 ,32.2 ,-6.5 ,,,,
2021-01-05 04:00:00,28.4 ,2.7 ,11.8 ,3.3 ,14.0 ,760.8 ,0.7 ,38.8 ,-6.7 ,,,,
2021-01-05 05:00:00,22.3 ,2.9 ,10.0 ,3.7 ,8.0 ,678.2 ,0.5 ,33.4 ,-7.6 ,,,,
2021-01-05 06:00:00,15.9 ,3.0 ,7.5 ,3.6 ,4.0 ,642.0 ,0.4 ,35.2 ,-8.1 ,,,,
2021-01-05 07:00:00,99.3 ,8.0 ,13.1 ,5.3 ,20.0 ,608.5 ,0.4 ,28.9 ,-9.2 ,,,,
2021-01-05 08:00:00,114.7 ,20.0 ,32.7 ,8.2 ,10.0 ,526.0 ,0.6 ,28.4 ,-7.5 ,,,,
2021-01-05 10:00:00,38.1 ,8.3 ,21.0 ,9.3 ,5.0 ,556.7 ,0.4 ,22.4 ,-1.7 ,,,,
2021-01-05 11:00:00,39.1 ,5.6 ,25.1 ,6.6 ,8.0 ,556.2 ,0.3 ,23.7 ,-0.1 ,,,,
